net,length_um
core.x14_reg\[31\],511.445
core.iv\[32\],511.44
core.x14_reg\[6\],511.4
_09185_,511.38
_09569_,511.32
net192,510.48
core.x11_reg\[13\],510.46
data_out13_reg\[0\],510.41
core.key1_reg\[30\],510
data_out14_reg\[24\],509.67
_08717_,509.5
_08092_,509.42
net69,509.22
_09385_,509.21
net170,509.21
net1261,509.13
_06621_,509.1
_12665_,508.96
_08467_,508.86
_13829_,508.64
_17231_,508.58
clknet_6_18_0_clk,508.41
core.x7_reg\[23\],508.31
core.x13_reg\[26\],508.01
core.key1_reg\[4\],507.84
net1167,507.47
net4154,507.25
core.key1_reg\[22\],507.2
_14380_,507.08
core.x11_reg\[16\],506.98
_09328_,506.86
_07039_,506.38
data_out14_reg\[0\],506.28
_06203_,505.7
data_out14_reg\[25\],505.15
net127,505
net604,504.72
_06995_,504.26
net107,504.13
core.qr3.y0\[4\],504.1
_11153_,504.02
_07674_,503.9
_12198_,503.32
_09015_,503.28
net3066,503.22
net164,503.18
_07816_,502.94
_04700_,502.87
_18898_,502.7
clknet_2_1_0_clk,502.7
_06206_,502.44
data_out12_reg\[16\],502.31
_06982_,502.235
net159,501.945
data_out1_reg\[4\],501.9
_08428_,501.89
core.x15_reg\[3\],501.755
_09389_,501.68
core.x13_reg\[31\],501.36
_04964_,501.32
_09398_,501.26
core.x11_reg\[12\],501.06
net3183,500.99
_09940_,500.94
data_out12_reg\[15\],500.38
_17773_,500.28
core.x13_reg\[11\],500.25
_07469_,499.94
net202,499.85
clknet_6_53_0_clk,499.485
clknet_6_20_0_clk,499.46
_08828_,499.05
_08491_,498.97
_06220_,498.9
_18098_,498.9
_09503_,498.64
core.x10_reg\[24\],498.36
clknet_6_38_0_clk,498.04
clknet_6_24_0_clk,498.03
_18906_,498.02
net331,497.83
core.x7_reg\[28\],497.77
_06992_,497.68
net1139,497.58
_04188_,497.215
data_out12_reg\[12\],496.87
_08360_,496.86
_10201_,496.68
net321,496.66
_12527_,496.43
data_out12_reg\[17\],496.1
_09982_,495.84
_19435_,495.51
core.key1_reg\[29\],495.26
net575,495.2
core.iv\[48\],495
_12718_,494.78
_07022_,494.59
_07098_,494.33
net123,494.1
_13929_,494.04
core.key0_reg\[28\],493.74
_06210_,493.48
net135,493.22
core.x11_reg\[15\],493.12
core.key3_reg\[8\],493
_06933_,492.93
_08653_,492.825
_06987_,492.53
net86,492.33
core.x7_reg\[30\],492.27
_07043_,491.98
_10080_,491.94
core.x14_reg\[23\],491.84
core.x15_reg\[4\],491.55
_18908_,491.42
core.x13_reg\[8\],490.86
core.iv\[46\],490.06
_07034_,489.84
core.x12_reg\[31\],489.76
